,,Density,Density,Density
,,ROI 1,ROI 2,ROI 3
338,Right,0.1592015195812398,0.1667417083909595,0.1474063829414751
338,Left,,,
385,Right,0.1778860883037762,0.1782135182332242,0.1819993413105513
385,Left,0.1706484370896868,0.1680820648272964,0.1666555426200521
386,Right,0.1560866953484707,0.1603279660720225,0.1490859316188442
386,Left,0.1738349293604804,0.1740269559356453,0.1710119745802769
387,Right,0.1614850492813501,0.1600629037481837,0.1671563982598344
387,Left,0.1731573655048056,0.1865343962815777,0.168861112813151
388,Right,,,
388,Left,0.1557825165000612,0.1454956911643703,0.1479354134206334
389,Right,0.1379016145550673,0.1375933325747098,0.1441249715516185
389,Left,0.1618157617163565,0.1644070263125645,0.1751599674375448
390,Right,0.1532735880849424,0.1375014224190753,0.1401990949038007
390,Left,0.1555084272859368,0.1521115811172773,0.1542443891038322
392,Right,0.1481679242310183,0.1592425509007195,0.1428075926541902
392,Left,0.1459929907564643,0.1572878188407065,0.1618576136622258
393,Right,0.1340605359675075,0.1380460447996358,0.151710021270636
393,Left,0.1546021822096952,0.149260177955568,0.1530230234939864
394,Right,0.152037451200084,0.1463009991946919,0.1473998179303583
394,Left,0.1524272487351411,0.164207887642023,0.161032337056424
395,Right,0.1263313295460513,0.1478002836084802,0.0931780234064529
395,Left,0.1549856882757654,0.151986845906059,0.1504361355718562
396,Right,0.1652251908229897,0.1571814109521892,0.1700512946201922
396,Left,0.1675749177185273,0.1631626831638101,0.1668032553701791
397,Right,0.155902327952942,0.1576524504998162,0.1514424970676283
397,Left,0.1436539320039915,0.1488878871168222,0.1555841984559093
398,Right,0.1706809886031407,0.1672898868192083,0.1728980475656938
398,Left,0.1704916974492743,0.1738655660790252,0.1675177474133856
399,Right,0.1465378866791547,0.1437250529577563,0.1497098812170655
399,Left,0.1434430310218658,0.1445795985714535,0.1536229013847797
400,Right,0.1516137344409236,0.1506360948687873,0.1519179132893331
400,Left,0.1243506109837012,0.1314952578736366,0.1335681601337511
401,Right,0.1804833708268412,0.1764220908247404,0.1798110042716339
401,Left,0.1661951712154899,0.1689256687557991,0.1679803071549867
402,Right,0.1671599543075226,0.1671599543075226,0.1671599543075226
402,Left,,,
403,Right,0.1526239255265138,0.1616464391379702,0.1669821519231105
403,Left,,,
404,Right,0.1702143257295915,0.187819223665552,0.1992188183855324
404,Left,0.1587014845678472,0.148393049403897,0.1529792567532081
405,Right,0.1557258932791793,0.1518746936328145,0.1589742060713223
405,Left,0.1507394937938761,0.1519159984944241,0.1555896692985066
406,Right,0.1459314437772448,0.1498751006635038,0.1349298528562175
406,Left,0.1430983679382363,0.1505953370914374,0.1504314853556485
407,Right,0.1738414943715971,0.1704435540344181,0.1780406396071497
407,Left,0.1594715056634162,0.1591755330789026,0.1744503991526759
408,Right,0.1582621759072845,0.1581579563558061,0.1619648421771327
408,Left,0.142816072460216,0.1495298904956145,0.1466360883037762
409,Right,0.134051509077222,0.1301825291924161,0.1353697086010399
409,Left,0.1543253575742721,0.1448509523642793,0.131292289613277
410,Right,0.1280705104077309,0.1424309251413665,0.1428510858528387
410,Left,0.1682254009033455,0.1658743062971586,0.1690080049368883
411,Right,,,
411,Left,0.147331705940022,0.1403946775266539,0.1300170362038479
412,Right,0.1804024023564013,0.185506972041806,0.1730164913079253
412,Left,0.1771642106230633,0.1889251544965949,0.1817802340645296
413,Right,0.1551643112865671,0.1529270102064039,0.1549421950771169
413,Left,0.1411004162217048,0.1417705944398732,0.1580324005181982
414,Right,,,
414,Left,0.1616519099805675,0.1782477109994573,0.1609062341345564
415,Right,0.1226065063636841,0.1284638639904763,0.1245751890723201
415,Left,0.1313281236322893,0.1235956347052747,0.1309558327935435
416,Right,0.1870368931741391,0.1744996367360515,0.1801707121724059
416,Left,0.1533903905743947,0.146013779958334,0.140671502162077
417,Right,0.1363112406120341,0.145934999824933,0.1402518885348646
417,Left,0.1394504100943611,0.1387011782006617,0.141969186026155
419,Right,0.1609850142679575,0.1609850142679575,0.1677516259344199
419,Left,0.1570063439890758,0.1599750967244971,0.1465994336583743
420,Right,0.1398935483447418,0.1481887134328881,0.1456152290751212
420,Left,,,
422,Right,0.1517154921132333,0.1474167775424099,0.147220647835297
422,Left,0.159957042943926,0.1543212544423242,0.1587682288475342
423,Right,0.2025593148754398,0.2026545075366327,0.1989477381348365
423,Left,,,
426,Right,0.1291668672642285,0.1245645209292554,0.1213096431259957
426,Left,,,
427,Right,0.1382974300169815,0.1406963944958947,0.151279465958229
427,Left,0.1984542681325607,0.2064151647380123,0.2106397493916423
431,Right,0.1434186857723079,0.1446548226571663,0.1585707314297718
431,Left,0.1361096400623238,0.1305211743491885,0.1307999137795206
433,Right,0.1705600829817405,0.1595226580417009,0.1762054454578876
433,Left,0.1555193689711314,0.1467383930603455,0.1424651179075996
434,Right,,,
434,Left,0.1350048033998004,0.1308972947777525,0.1245158304301395
435,Right,,,
435,Left,0.148659752980515,0.1472261186778942,0.1507479735999019
437,Right,0.13071019196092507,0.12385030242817878,0.1327423364436897
437,Left,,,
