,,Number,Number,Number,Area,Area,Area,Std,Std,Std,Density,Density,Density
,,ROI 1,ROI 2,ROI 3,ROI 1,ROI 2,ROI 3,ROI 1,ROI 2,ROI 3,ROI 1,ROI 2,ROI 3
338,Right,164.0,215.0,268.0,1666.2926829268292,1298.8,747.3843283582089,5016.910124982779,7036.297089438536,1686.436165891298,0.0747514049123789,0.076384451427671,0.0547902150697641
338,Left,,,,,,,,,,,,
385,Right,97.0,97.0,111.0,4090.721649484536,4283.484536082474,3563.927927927928,8013.607360741515,8362.665196566375,9503.702986168282,0.1085415171303023,0.113656207874512,0.1082121724059452
385,Left,121.0,105.0,102.0,2832.5371900826444,3211.3142857142857,4430.392156862745,6232.323460584773,8657.51652557818,9711.564806621289,0.0937530089634285,0.0922351236848094,0.1236136884858458
386,Right,148.0,217.0,181.0,1934.445945945946,958.958525345622,1506.1602209944751,4488.4823538247,2540.6025009269606,3407.1434339842763,0.0783145646959962,0.0569224759720593,0.0745716877330578
386,Left,105.0,123.0,124.0,2758.6285714285714,2404.3821138211383,1830.516129032258,4733.669507363717,4571.552725278943,3884.273718059904,0.0792331191680817,0.0808970759440486,0.0620896868052029
387,Right,135.0,128.0,217.0,2588.0,2203.328125,1406.0921658986176,7827.23176795307,3826.976695989106,4516.797053343853,0.0955701493321195,0.0771459927172143,0.0834637217485688
387,Left,60.0,109.0,74.0,6156.516666666666,2517.05504587156,6603.0,9376.826237477855,4468.682801276387,13541.458659617769,0.1010440008928415,0.0750487452075418,0.1336587025787363
388,Right,,,,,,,,,,,,
388,Left,199.0,190.0,195.0,1124.5075376884422,1213.5736842105264,1143.8102564102564,2848.863019474747,2256.684551836961,2050.3767041107944,0.0612124371947269,0.0630730707620664,0.0610116572714063
389,Right,130.0,163.0,123.0,1932.9076923076923,1212.1411042944785,1785.30081300813,2900.8671369871463,1841.9542925298504,2758.925943114368,0.0687351193081353,0.0540461804765322,0.0600676633812433
389,Left,180.0,210.0,236.0,1150.6055555555556,879.7571428571429,691.2966101694915,2967.39467297836,1709.499309185771,1502.0820064834104,0.0566530369741426,0.0505366349503685,0.0446273043189019
390,Right,87.0,84.0,86.0,4029.816091954023,4655.369047619048,4612.639534883721,8114.580880905761,11019.538404365918,7806.176150463532,0.0959022294777752,0.1069689234257103,0.1085106068696276
390,Left,102.0,121.0,120.0,4155.303921568628,3037.5123966942147,4161.683333333333,9006.549849628647,7713.918942530337,10255.039571916266,0.1159383698639729,0.1005374008683321,0.1366074867386775
392,Right,145.0,163.0,114.0,2047.186206896552,1764.9018404907974,2849.8245614035086,4327.742666002887,3735.061523308262,5779.451845345345,0.0811987929132893,0.0786923263773393,0.088868367150435
392,Left,139.0,113.0,103.0,1920.0431654676256,1878.646017699115,2868.854368932039,2900.267371159114,3668.958783108525,7054.494275182571,0.0730045648710631,0.0580694381225818,0.080829511037972
393,Right,151.0,161.0,189.0,1528.450331125828,1339.16149068323,976.005291005291,2873.991523273841,3009.230736211127,1998.667959335413,0.0631324294042471,0.0589770509094728,0.0504589489854869
