,,Number,Number,Number,Area,Area,Area,Std,Std,Std,Density,Density,Density
,,ROI 1,ROI 2,ROI 3,ROI 1,ROI 2,ROI 3,ROI 1,ROI 2,ROI 3,ROI 1,ROI 2,ROI 3
338,Right,2344.0,2358.0,2649.0,85.18899317406144,86.17260390161154,84.15892789731974,75.67606593366133,78.2308647606114,76.61421013506944,0.0546217131177675,0.0555823930778522,0.0609826618056406
338,Left,,,,,,,,,,,,
385,Right,1821.0,1851.0,1837.0,86.97309170785283,87.90005402485143,86.74033750680458,65.67921410656393,66.5802929612651,65.54956689020811,0.0433230554437072,0.0445061251553719,0.0435867500568967
385,Left,1996.0,2019.0,1718.0,88.36422845691382,94.66518078256564,89.30209545983702,67.18694304882851,70.56937368704119,66.85871286088525,0.0482459931548817,0.0522818337389051,0.041967107105968
386,Right,2129.0,2547.0,2398.0,87.78957256928135,83.25206124852768,84.44412010008341,62.91194963005976,61.33978158312552,61.91178273229003,0.0511261182402268,0.0580026938428949,0.0553914606712067
386,Left,2134.0,2245.0,2562.0,81.73430178069353,81.69309576837416,81.35948477751757,60.18601556294861,61.17459723726024,61.69330599106952,0.0477114918331261,0.0501679001593109,0.057017942175382
387,Right,2214.0,2402.0,2364.0,87.69196025293586,82.57452123230641,78.79483925549916,65.64681106790846,63.34134719397704,62.173148721435645,0.0531082045132263,0.0542554402058787,0.0509529660720225
387,Left,1655.0,1796.0,1513.0,84.17824773413898,86.75779510022272,86.07204230006609,58.332514390673325,61.24175410752328,60.026697914836575,0.0381085218220969,0.0426225140491237,0.0356225709458868
388,Right,,,,,,,,,,,,
388,Left,2480.0,2586.0,2491.0,82.35120967741935,83.47641144624903,84.01445202729828,71.35921520266945,71.26942115059232,71.96609944807282,0.055865782724392,0.059049539573887,0.0572468969380788
389,Right,2545.0,2786.0,2613.0,99.3713163064833,97.07753050969131,93.81553769613473,71.93737478361847,74.12087573858595,71.7389801611871,0.0691788046427758,0.0739816573589398,0.067056117715026
389,Left,2611.0,2836.0,2860.0,90.73266947529682,87.67983074753174,82.46538461538462,67.4569293643703,67.6910798255068,71.07765281227917,0.0648029511913306,0.0680189860121496,0.064515184870713
390,Right,1868.0,1833.0,1920.0,87.656852248394,85.91325695581014,88.75104166666667,59.66890005516128,58.70288786413745,60.605177108895184,0.0447906089704311,0.0430771410689588,0.0466121260132
390,Left,1732.0,1807.0,1577.0,86.94110854503464,87.66795794133924,82.39124920735574,58.68212793744988,59.19622555556065,57.62432817384264,0.0411905209992822,0.043333450044642,0.0355416024754468
392,Right,2202.0,2435.0,2301.0,89.96230699364214,77.77084188911704,87.86788352890048,60.62991267881284,60.01720559172582,62.152539689243184,0.0541878752998021,0.0518012202167329,0.055305841984559
392,Left,2150.0,2423.0,1997.0,82.7660465116279,83.82996285596369,86.49123685528292,60.25291553391864,59.57771137853063,60.7208827300916,0.048676001383029,0.0555618774181124,0.0472470172966159
